G,PER,TS%,FTr,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,TOV,PPG,RPG,APG,SPG,BPG,name,MVP Awards,1st Team,2nd Team,3rd Team,All-NBA Teams,All Star Selections,isHOF
213,5.94,0.4311999999999999,0.1286,7.44,10.24,0.5199999999999999,0.36,12.819999999999999,18.34,-1.4,-6.2,-0.72,547,1475,0.36079999999999995,156.0,471.0,0.299,159,223,204.0,6.615023474178404,1.9812206572769953,1.2347417840375587,0.2300469483568075,0.07511737089201878,Adam Morrison,0.0,0.0,0.0,0.0,0.0,0.0,0.0
743,11.999999999999998,0.5047858045247607,0.3144610747051115,15.014285714285714,3.6785714285714284,0.807142857142857,6.292857142857144,16.613221325707283,11.600000000000003,19.000000000000004,-1.2357142857142855,0.2642857142857143,1325,2777,0.4949155206057959,0.0,2.0,0.2132539847282993,356,713,600.0,4.045760430686406,4.693135935397039,0.46433378196500674,0.3553162853297443,1.6164199192462987,Adonal Foyle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,12.25,0.4235,0.5,2.1,30.15,4.6,0.4,23.25,18.1,-0.1,-5.8999999999999995,-0.05,8,27,0.3805,3.0,12.0,0.15,2,4,8.0,2.1,0.6,2.2,0.3,0.1,Adonis Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,7.733333333333333,0.5186666666666667,0.06066666666666667,3.9,13.5,0.0,0.0,7.733333333333333,18.633333333333333,0.0,-9.833333333333332,-0.03333333333333333,12,28,0.454,2.0,10.0,0.2333333333333333,2,2,2.0,2.3333333333333335,0.5,0.5,0.0,0.0,Adonis Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,7.68,0.42699999999999994,0.2466,12.919999999999998,5.9799999999999995,2.0,1.64,12.299999999999999,18.74,-1.3,-6.62,-0.4,258,639,0.382,14.0,65.0,0.14340000000000003,91,137,132.0,4.634328358208955,3.4925373134328357,0.7164179104477612,0.4626865671641791,0.26865671641791045,Adreian Payne,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,15.450000000000001,0.5015000000000001,0.34274999999999994,11.125,9.475000000000001,3.025,0.8,13.825,28.674999999999997,2.1,-3.3499999999999996,-0.07500000000000001,331,727,0.4477499999999999,9.0,39.0,0.35650000000000004,163,219,125.0,6.415384615384616,1.9461538461538461,0.7384615384615385,0.6384615384615384,0.13076923076923078,Adrian Branch,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,6.7875,0.46100015791833104,0.555056880733945,15.05,2.2875,1.5,1.1125,20.735637319987745,11.4375,1.2,-6.7375,-0.25,204,430,0.43210216106014293,0.0,5.0,0.15549769719771825,83,187,154.0,2.0289256198347108,2.739669421487603,0.1859504132231405,0.2975206611570248,0.2024793388429752,Adrian Caldwell,0.0,0.0,0.0,0.0,0.0,0.0,0.0
512,10.254545454545454,0.4440909090909091,0.19300000000000003,10.972727272727273,12.227272727272727,2.8181818181818183,0.6272727272727273,16.354545454545455,12.918181818181818,16.3,-0.5727272727272728,0.5545454545454546,815,1870,0.40518181818181814,50.0,180.0,0.2401262678680952,304,401,352.0,3.875,3.068359375,1.328125,0.884765625,0.119140625,Adrian Griffin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
796,12.049999999999999,0.49783333333333335,0.4053333333333334,9.478442121366673,13.41082391191903,1.6482685648326214,1.4106242785686767,15.085098559901942,18.906491853360368,32.6,-2.326720200028834,0.5598788286771946,3240,7610,0.4163333333333334,266.58044064035505,763.253764463465,0.24879631551634918,2460,2932,887.2779842199035,11.231155778894472,2.0879396984924625,2.2977386934673367,0.6014631024043622,0.36889839397497176,Adrian Smith,0.0,0.0,0.0,0.0,0.0,1.0,0.0
711,11.054545454545455,0.4848181818181818,0.42200000000000004,9.544735988132238,18.38544084157919,1.6482685648326216,1.4106242785686767,15.08509855990194,18.906491853360368,36.599999999999994,-2.326720200028834,0.5598788286771946,2499,5545,0.4422727272727273,244.36540392032546,699.6492840915096,0.24879631551634918,1330,2106,813.3381522015782,8.90014064697609,3.4641350210970465,3.492264416315049,0.617253976166502,0.37858349011308634,Al Attles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
687,9.43,0.4175000000000001,0.2688,9.94920958694546,13.447969851474218,1.6482685648326214,1.4106242785686767,15.08509855990194,18.906491853360368,8.299999999999999,-2.326720200028834,0.5598788286771946,2212,5919,0.3722,222.15036720029588,636.0448037195541,0.2487963155163492,1126,1592,739.3983201832528,8.078602620087336,2.506550218340611,2.1790393013100435,0.5807431216810678,0.35619010383803673,Al Bianchi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,12.633333333333333,0.46849999999999997,0.24616666666666667,9.949209586945463,12.408301928618977,1.6482685648326214,1.410624278568677,15.085098559901937,18.906491853360368,11.099999999999998,-2.326720200028834,0.5598788286771946,1279,2873,0.42733333333333334,133.29022032017753,381.62688223173245,0.2487963155163492,551,753,443.63899210995163,10.610921501706486,3.525597269624573,2.508532423208191,0.8170044872250378,0.501097477140064,Al Butler,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,9.0,0.392,0.36700000000000005,13.5,5.8,1.1,2.1,15.085098559901937,18.90649185336037,0.1,-5.3,-0.2,27,79,0.342,22.215036720029588,63.60448037195541,0.2487963155163492,18,29,73.93983201832528,2.5714285714285716,2.607142857142857,0.4642857142857143,0.25,0.39285714285714285,Al Carlson,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,16.289535703912723,0.5395,0.9455,9.949209586945463,13.009962314342772,1.6482685648326214,1.410624278568677,15.085098559901937,18.90649185336037,22.000000000000004,-2.3267202000288334,0.5598788286771945,405,1128,0.37625000000000003,88.86014688011835,254.41792148782164,0.2487963155163492,781,931,295.7593280733011,7.876237623762377,2.404145449095749,3.207920792079208,0.7900406427621653,0.4845596066073886,Al Cervi,0.0,0.0,1.0,0.0,1.0,0.0,0.0
220,10.65,0.4815,0.3315,9.45,6.074999999999999,1.6749999999999998,0.4,14.063823919926453,17.65486889002028,5.300000000000001,-3.275,-0.125,566,1308,0.42474999999999996,88.86014688011835,254.41792148782164,0.2487963155163492,358,449,244.81949605497584,6.7727272727272725,3.4545454545454546,0.7954545454545454,0.7181818181818181,0.1590909090909091,Al Eberhard,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371,9.0,0.44183333333333336,0.42966666666666664,9.949209586945463,13.009962314342772,1.6482685648326214,1.410624278568677,15.085098559901937,18.906491853360368,8.9,-2.326720200028834,0.5598788286771946,878,2389,0.3595,133.29022032017753,381.62688223173245,0.2487963155163492,769,1012,443.63899210995163,6.8059299191374665,2.2371967654986524,2.5417789757412397,0.6452353497491539,0.39574544690576485,Al Ferrari,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,10.7,0.52,0.5479999999999999,15.7,10.1,0.0,2.8,29.4,21.4,0.0,-4.5,-0.1,15,31,0.484,22.215036720029588,63.60448037195541,0.2487963155163492,10,17,16.0,2.0,1.5,0.35,0.0,0.25,Al Fleming,0.0,0.0,0.0,0.0,0.0,0.0,0.0
