name,position,years_played,All Star Selections,1st Team,2nd Team,3rd Team,All-NBA Teams,MVP Awards,G,PER,TS%,FTr,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,TOV,PPG,RPG,APG,SPG,BPG,isHOF
Cliff Hagan,F-G,14,6,0.0,2.0,0.0,2.0,0.0,745.0,18.830000000000002,0.49939999999999996,0.322,9.94920958694546,13.017969851474216,1.6482685648326214,1.4106242785686767,15.08509855990194,18.906491853360368,75.0,-2.326720200028834,0.5598788286771946,5239.0,11630.0,0.4431,222.15036720029588,636.0448037195541,0.2487963155163492,2969.0,3722.0,739.3983201832528,18.0496644295302,6.8671140939597315,3.0093959731543625,0.5355309054965014,0.3284598675660822,1
Jim Pollard,F-C,7,4,2.0,2.0,0.0,4.0,0.0,385.0,14.40969046927515,0.4043333333333334,0.23816666666666667,9.949209586945463,13.009962314342772,1.6482685648326214,1.410624278568677,15.085098559901937,18.906491853360368,27.7,-2.326720200028834,0.5598788286771946,1985.0,5587.0,0.3558333333333334,133.29022032017753,381.62688223173245,0.2487963155163492,1008.0,1325.0,443.63899210995163,12.92987012987013,7.0432139758891985,3.311688311688312,0.621772246121912,0.38135470338191885,1
Wilt Chamberlain,C,14,13,7.0,3.0,0.0,10.0,4.0,1118.0,26.293750000000003,0.5561875,0.5515625000000001,11.714982789393186,14.559363223232113,1.648268564832621,1.4106242785686764,15.085098559901944,18.906491853360368,262.3,-2.3267202000288334,0.5598788286771946,13744.0,25580.0,0.5596875,355.4405875204735,1017.6716859512868,0.24879631551634915,6465.0,12742.0,1183.0373122932044,30.369409660107333,22.8953488372093,4.3765652951699465,0.5709774949479693,0.3502005028074867,1
Jerry Lucas,F-C,11,7,3.0,2.0,0.0,5.0,0.0,896.0,18.26923076923077,0.5432307692307692,0.2830769230769231,11.403298944808396,12.26999710110329,1.5830171367685737,1.36365318021724,15.085098559901942,18.906491853360368,106.3,-2.155434030795847,0.5783496880097181,6114.0,12240.0,0.5015384615384615,288.79547736038467,826.8582448354205,0.24879631551634918,2835.0,3620.0,961.2178162382288,16.811383928571427,15.505580357142858,3.244419642857143,0.5655855240110182,0.3545124125045508,1
Oscar Robertson,G-F,14,12,9.0,2.0,0.0,11.0,1.0,1040.0,22.807142857142853,0.5599999999999999,0.45357142857142846,8.928006847818187,25.031417804097938,1.6305350959160054,1.317008258670914,15.085098559901942,18.906491853360368,189.10000000000005,-2.1605259000267742,0.6127446266288237,9508.0,19620.0,0.4826428571428572,311.0105140804143,890.4627252073759,0.24879631551634915,7694.0,9185.0,1035.157648256554,25.682692307692307,7.503846153846154,9.506730769230769,0.5727516172820785,0.309724405517068,1
Jerry West,G,14,14,10.0,2.0,0.0,12.0,0.0,932.0,22.807142857142853,0.5477857142857143,0.45628571428571424,8.592292562103902,23.36713208981222,1.7876779530588627,1.3884368300994854,15.085098559901942,18.906491853360368,162.6,-1.8033830428839173,0.6413160552002521,9016.0,19032.0,0.473,311.0105140804143,890.4627252073759,0.24879631551634915,7160.0,8801.0,1035.157648256554,27.030042918454935,5.757510729613734,6.6931330472103,0.6434138218598301,0.3660014825512346,1
Hal Greer,G-F,15,10,0.0,7.0,0.0,7.0,0.0,1122.0,15.193333333333335,0.501,0.29140000000000005,9.026034336223034,15.030651592403775,1.648268564832621,1.4106242785686764,15.085098559901944,18.906491853360368,102.7,-2.3267202000288334,0.5598788286771946,8504.0,18811.0,0.4491333333333333,333.2255508004439,954.0672055793314,0.24879631551634915,4578.0,5717.0,1109.0974802748792,19.23885918003565,5.049019607843137,4.046345811051693,0.5333830542712481,0.3271425151560579,1
Slater Martin,G,11,7,0.0,5.0,0.0,5.0,0.0,811.0,11.389087908896222,0.4331538461538461,0.3852307692307693,9.94920958694546,13.009962314342772,1.6482685648326212,1.4106242785686764,15.085098559901942,18.906491853360368,49.900000000000006,-2.326720200028834,0.5598788286771946,2876.0,7960.0,0.3603846153846154,288.79547736038467,826.8582448354205,0.24879631551634918,2303.0,3011.0,961.2178162382288,9.932182490752158,3.4705763017476463,4.228113440197287,0.6395335166132696,0.39224831287022277,1
Willis Reed,C-F,10,7,1.0,4.0,0.0,5.0,1.0,650.0,17.740000000000002,0.5156000000000001,0.31190000000000007,11.899525752167277,7.510000000000001,1.5934417083493593,1.4995618507118091,15.08509855990194,18.906491853360368,74.8,-2.0440481800259507,0.5338909458094752,4859.0,10202.0,0.47040000000000004,222.15036720029588,636.0448037195541,0.2487963155163492,2465.0,3298.0,739.3983201832528,18.743076923076924,12.944615384615384,1.8246153846153845,0.5708822648236987,0.37112667877393557,1
Bill Bradley,F-G,10,1,0.0,0.0,0.0,0.0,0.0,742.0,12.04,0.485,0.1923,6.3547628760836385,15.669999999999998,1.4089611388995726,0.9963745671412063,15.08509855990194,18.906491853360368,38.8,-2.4060321200173003,0.25592729720631674,3927.0,8763.0,0.44659999999999994,222.15036720029588,636.0448037195541,0.2487963155163492,1363.0,1623.0,739.3983201832528,12.421832884097036,3.1725067385444743,3.4137466307277626,0.6042888339042266,0.2854738016199983,1
Dave DeBusschere,F-G,12,8,0.0,1.0,0.0,1.0,0.0,951.0,15.257142857142862,0.47100000000000003,0.2850714285714286,11.192292562103903,10.937137473477538,1.6162493816302912,1.367008258670914,15.085098559901942,18.906491853360368,66.19999999999999,-2.0390973285982033,0.6984589123431093,6228.0,14389.0,0.4313571428571429,311.0105140804143,890.4627252073759,0.24879631551634915,2838.0,4058.0,1035.157648256554,16.082018927444796,11.047318611987382,2.826498422712934,0.6158377307816632,0.37551354546556326,1
